剧名称,group_title,发弹幕时刻相对于视频起始时间偏移量,累计点赞数,弹幕内容
十八岁太奶奶驾到，重整家族荣耀第三部,第4集,59732,0,哈哈哈，我自己还是个宝宝呢
那年冬至,第4集,74807,0,[偷笑][偷笑][偷笑]
幸得相遇离婚时,第5集,73648,0,等你娶她，人家结婚了，兄弟
天下第一纨绔,第1集,280469,0,比别人百万雄狮的人都多[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,179182,0,行[捂脸][笑哭]
天下第一纨绔,第1集,296035,0,三分归元气[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,8861,0,好可爱[爱慕]
天下第一纨绔,第1集,66243,0,柳如烟
那年冬至,第2集,154872,0,我也喜欢
家里家外,第2集,197141,0,超爱她的男人来了
撕夜,第4集,164823,27,[石化][石化][石化]
天下第一纨绔,第5集,89907,0,这穗子太长了吧
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,199056,0,《肃然起敬》
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,259950,0,哈哈哈 确实打的不轻啊[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,189796,147,相信光
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,97026,0,啊啊啊啊
撕夜,第3集,19283,0,三刷了[捂脸]
荒年全村啃树皮，我有系统满仓肉,第3集,55886,1,[爱慕][飞吻][送心][舔屏][爱心]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,242452,0,一见钟情。[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第4集,138887,0,如果让国家队知道，那国家队指定强
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,74846,0,瓜
十八岁太奶奶驾到，重整家族荣耀第三部,第4集,33931,0,细节拉布布[爱慕]
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,201586,0,是不是5岁的时候就是这样的[捂脸]
北往,第2集,116670,0,苦衷姐
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,201628,0,俺不中了
那年冬至,第3集,98683,0,好可爱
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,14615,0,[鼓掌][送花][爽]
天下第一纨绔,第1集,287920,0,[赞][赞][赞]
那年冬至,第2集,39443,0,很漂亮很可爱哎[偷笑]
北往,第4集,53042,0,会预判了
